t_now,speed,direction,steering_angle,distance
07:38:11.274,60,1,90,-4
07:38:11.388,60,1,90,46
07:38:11.501,60,1,90,40
07:38:11.614,60,1,90,40
07:38:11.727,60,1,90,40
07:38:11.840,60,1,90,40
07:38:11.954,60,1,90,40
07:38:12.067,60,1,90,40
07:38:12.180,60,1,90,35
07:38:12.293,60,1,90,40
07:38:12.406,60,1,90,40
07:38:12.519,60,1,90,36
07:38:12.632,60,1,90,45
07:38:12.745,60,1,90,40
07:38:12.858,60,1,90,36
07:38:12.972,60,1,90,40
07:38:13.085,60,1,90,40
07:38:13.198,60,1,90,40
07:38:13.311,60,1,90,40
07:38:13.424,60,1,90,40
07:38:13.537,60,1,90,40
07:38:13.651,60,1,90,40
07:38:13.764,60,1,90,40
07:38:13.877,60,1,90,40
07:38:13.990,60,1,90,40
07:38:14.104,60,1,90,40
07:38:14.217,60,1,90,46
07:38:14.330,60,1,90,40
07:38:14.443,60,1,90,40
07:38:14.556,60,1,90,40
07:38:14.670,60,1,90,40
07:38:14.783,60,1,90,40
07:38:14.896,60,1,90,40
07:38:15.009,60,1,90,40
07:38:15.122,60,1,90,40
07:38:15.235,60,1,90,40
07:38:15.348,60,1,90,42
07:38:15.462,60,1,90,40
07:38:15.575,60,1,90,40
07:38:15.688,60,1,90,40
07:38:15.801,60,1,90,40
07:38:15.914,60,1,90,40
07:38:16.027,60,1,90,40
07:38:16.140,60,1,90,40
07:38:16.253,60,1,90,40
07:38:16.367,60,1,90,40
07:38:16.480,60,1,90,40
07:38:16.593,60,1,90,40
07:38:16.706,60,1,90,40
07:38:16.819,60,1,90,41
07:38:16.932,60,1,90,42
07:38:17.045,60,1,90,40
07:38:17.159,60,1,90,46
07:38:17.272,60,1,90,40
07:38:17.385,60,1,90,40
07:38:17.498,60,1,90,40
07:38:17.611,60,1,90,40
07:38:17.724,60,1,90,40
07:38:17.837,60,1,90,40
07:38:17.950,60,1,90,40
07:38:18.064,60,1,90,40
07:38:18.177,60,1,90,45
07:38:18.291,60,1,90,40
07:38:18.404,60,1,90,40
07:38:18.518,60,1,90,40
07:38:18.631,60,1,90,40
07:38:18.744,60,1,90,40
07:38:18.857,60,1,90,40
07:38:18.971,60,1,90,40
07:38:19.084,60,1,90,40
07:38:19.197,60,1,90,32
07:38:19.310,60,1,90,41
07:38:19.423,60,1,90,40
07:38:19.539,60,1,90,36
07:38:19.652,60,1,90,40
07:38:19.766,60,1,90,40
07:38:19.879,60,1,90,40
07:38:19.992,60,1,90,40
07:38:20.105,60,1,90,40
07:38:20.219,60,1,90,40
07:38:20.332,60,1,90,40
07:38:20.445,60,1,90,40
07:38:20.559,60,1,90,40
07:38:20.672,60,1,90,40
07:38:20.785,60,1,90,40
07:38:20.898,60,1,90,40
07:38:21.012,60,1,90,40
07:38:21.125,60,1,90,42
07:38:21.238,60,1,90,40
07:38:21.352,60,1,90,44
07:38:21.466,60,1,90,40
07:38:21.579,60,1,90,40
07:38:21.692,60,1,90,36
07:38:21.805,60,1,90,40
07:38:21.919,60,1,90,40
07:38:22.032,60,1,90,40
07:38:22.145,60,1,90,40
07:38:22.258,60,1,90,40
07:38:22.372,60,1,90,40
07:38:22.485,60,1,90,40
07:38:22.598,60,1,90,40
07:38:22.711,60,1,90,40
07:38:22.825,60,1,90,40
07:38:22.938,60,1,90,46
07:38:23.051,60,1,90,36
07:38:23.164,60,1,90,40
07:38:23.278,60,1,90,40
07:38:23.391,60,1,90,40
07:38:23.504,60,1,90,40
07:38:23.617,60,1,90,40
07:38:23.730,60,1,90,40
07:38:23.843,60,1,90,40
07:38:23.956,60,1,90,40
07:38:24.069,60,1,90,40
07:38:24.182,60,1,90,36
07:38:24.295,60,1,90,35
07:38:24.406,60,1,90,8
07:38:24.529,30,-1,135,0
07:38:24.640,30,-1,135,6
07:38:24.751,30,-1,135,10
07:38:24.862,30,-1,135,3
07:38:24.973,30,-1,135,8
07:38:25.085,30,-1,135,7
07:38:25.196,30,-1,135,4
07:38:25.306,30,-1,135,2
07:38:25.418,30,-1,135,4
07:38:25.529,30,-1,135,5
07:38:25.640,30,-1,135,5
07:38:25.751,30,-1,135,3
07:38:25.862,30,-1,135,3
07:38:25.972,30,-1,135,3
07:38:26.083,30,-1,135,3
07:38:26.194,30,-1,135,2
07:38:26.305,30,-1,135,2
07:38:26.416,30,-1,135,3
07:38:26.527,30,-1,135,3
07:38:26.638,30,-1,135,2
07:38:26.755,60,1,90,3
