t_now,speed,direction,steering_angle,distance
08:33:27.411,50,1,90,159
08:33:27.532,50,1,90,160
08:33:27.692,50,1,90,-2
08:33:27.853,50,1,90,-2
08:33:28.013,50,1,90,-2
08:33:28.133,50,1,90,155
08:33:28.253,50,1,90,153
08:33:28.372,50,1,90,156
08:33:28.493,50,1,90,160
08:33:28.613,50,1,90,155
08:33:28.733,50,1,90,154
08:33:28.852,50,1,90,154
08:33:28.972,50,1,90,156
08:33:29.133,50,1,90,-2
08:33:29.294,50,1,90,-2
08:33:29.454,50,1,90,-2
08:33:29.615,50,1,90,-2
08:33:29.775,50,1,90,-2
08:33:29.936,50,1,90,-2
08:33:30.096,50,1,90,-2
08:33:30.257,50,1,90,-2
08:33:30.417,50,1,90,-2
08:33:30.578,50,1,90,-2
08:33:30.738,50,1,90,-2
08:33:30.898,50,1,90,-2
08:33:31.018,50,1,90,153
08:33:31.138,50,1,90,154
08:33:31.258,50,1,90,152
08:33:31.378,50,1,90,156
08:33:31.538,50,1,90,-2
08:33:31.699,50,1,90,-2
08:33:31.859,50,1,90,-2
08:33:31.985,50,1,90,161
08:33:32.145,50,1,90,-2
08:33:32.306,50,1,90,-2
08:33:32.466,50,1,90,-2
08:33:32.586,50,1,90,155
08:33:32.747,50,1,90,-2
08:33:32.907,50,1,90,-2
08:33:33.068,50,1,90,-2
08:33:33.187,50,1,90,154
08:33:33.307,50,1,90,156
08:33:33.427,50,1,90,155
08:33:33.547,50,1,90,156
08:33:33.667,50,1,90,156
08:33:33.828,50,1,90,-2
08:33:33.989,50,1,90,-2
08:33:34.150,50,1,90,-2
08:33:34.311,50,1,90,-2
08:33:34.471,50,1,90,-2
08:33:34.632,50,1,90,-2
08:33:34.792,50,1,90,-2
08:33:34.953,50,1,90,-2
08:33:35.113,50,1,90,-2
08:33:35.274,50,1,90,-2
08:33:35.434,50,1,90,-2
08:33:35.594,50,1,90,-2
08:33:35.755,50,1,90,-2
08:33:35.915,50,1,90,-2
08:33:36.076,50,1,90,-2
08:33:36.236,50,1,90,-2
08:33:36.397,50,1,90,-2
08:33:36.557,50,1,90,-2
08:33:36.718,50,1,90,-2
08:33:36.878,50,1,90,-2
08:33:37.039,50,1,90,-2
08:33:37.199,50,1,90,-2
08:33:37.360,50,1,90,-2
08:33:37.520,50,1,90,-2
08:33:37.681,50,1,90,-2
08:33:37.841,50,1,90,-2
08:33:38.002,50,1,90,-2
08:33:38.162,50,1,90,-2
08:33:38.323,50,1,90,-2
08:33:38.483,50,1,90,-2
08:33:38.643,50,1,90,-2
08:33:38.804,50,1,90,-2
08:33:38.964,50,1,90,-2
08:33:39.125,50,1,90,-2
08:33:39.285,50,1,90,-2
08:33:39.446,50,1,90,-2
08:33:39.606,50,1,90,-2
08:33:39.766,50,1,90,-2
08:33:39.927,50,1,90,-2
08:33:40.047,50,1,90,158
08:33:40.207,50,1,90,-2
08:33:40.368,50,1,90,-2
08:33:40.528,50,1,90,-2
08:33:40.648,50,1,90,156
08:33:40.808,50,1,90,-2
08:33:40.969,50,1,90,-2
08:33:41.129,50,1,90,-2
08:33:41.290,50,1,90,-2
08:33:41.450,50,1,90,-2
08:33:41.611,50,1,90,-2
08:33:41.772,50,1,90,-2
08:33:41.933,50,1,90,-2
08:33:42.093,50,1,90,-2
08:33:42.254,50,1,90,-2
08:33:42.415,50,1,90,-2
08:33:42.576,50,1,90,-2
08:33:42.736,50,1,90,-2
08:33:42.899,50,1,90,-2
08:33:43.060,50,1,90,-2
08:33:43.221,50,1,90,-2
08:33:43.382,50,1,90,-2
08:33:43.542,50,1,90,-2
08:33:43.703,50,1,90,-2
08:33:43.863,50,1,90,-2
08:33:44.024,50,1,90,-2
08:33:44.185,50,1,90,-2
08:33:44.345,50,1,90,-2
08:33:44.506,50,1,90,-2
08:33:44.666,50,1,90,-2
08:33:44.827,50,1,90,-2
08:33:44.987,50,1,90,-2
08:33:45.148,50,1,90,-2
08:33:45.308,50,1,90,-2
08:33:45.469,50,1,90,-2
08:33:45.631,50,1,90,-2
08:33:45.793,50,1,90,-2
08:33:45.953,50,1,90,-2
08:33:46.113,50,1,90,-2
08:33:46.274,50,1,90,-2
08:33:46.434,50,1,90,-2
08:33:46.595,50,1,90,-2
08:33:46.755,50,1,90,-2
08:33:46.916,50,1,90,-2
08:33:47.076,50,1,90,-2
08:33:47.237,50,1,90,-2
08:33:47.397,50,1,90,-2
08:33:47.558,50,1,90,-2
08:33:47.718,50,1,90,-2
08:33:47.839,50,1,90,161
08:33:47.999,50,1,90,-2
08:33:48.160,50,1,90,-2
08:33:48.320,50,1,90,-2
08:33:48.480,50,1,90,-2
08:33:48.641,50,1,90,-2
08:33:48.801,50,1,90,-2
08:33:48.962,50,1,90,-2
08:33:49.122,50,1,90,-2
08:33:49.282,50,1,90,-2
08:33:49.443,50,1,90,-2
08:33:49.603,50,1,90,-2
08:33:49.764,50,1,90,-2
08:33:49.924,50,1,90,-2
08:33:50.085,50,1,90,-2
08:33:50.245,50,1,90,-2
08:33:50.365,50,1,90,157
08:33:50.526,50,1,90,-2
08:33:50.686,50,1,90,-2
08:33:50.846,50,1,90,-2
08:33:51.007,50,1,90,-2
08:33:51.167,50,1,90,-2
08:33:51.328,50,1,90,-2
08:33:51.448,50,1,90,162
08:33:51.568,50,1,90,156
08:33:51.729,50,1,90,-2
08:33:51.889,50,1,90,-2
08:33:52.049,50,1,90,-2
08:33:52.210,50,1,90,-2
08:33:52.370,50,1,90,-2
08:33:52.531,50,1,90,-2
08:33:52.651,50,1,90,156
08:33:52.811,50,1,90,-2
08:33:52.972,50,1,90,-2
08:33:53.132,50,1,90,-2
08:33:53.293,50,1,90,-2
08:33:53.453,50,1,90,-2
08:33:53.614,50,1,90,-2
08:33:53.774,50,1,90,-2
08:33:53.935,50,1,90,-2
08:33:54.095,50,1,90,-2
08:33:54.256,50,1,90,-2
08:33:54.416,50,1,90,-2
08:33:54.577,50,1,90,-2
08:33:54.688,50,1,90,1
08:33:54.810,30,-1,135,0
08:33:54.921,30,-1,135,8
08:33:55.032,30,-1,135,5
08:33:55.144,30,-1,135,24
08:33:55.305,30,-1,135,-2
08:33:55.465,30,-1,135,-2
08:33:55.626,30,-1,135,-2
08:33:55.786,30,-1,135,-2
08:33:55.947,30,-1,135,-2
08:33:56.107,30,-1,135,-2
08:33:56.267,30,-1,135,-2
08:33:56.379,30,-1,135,11
08:33:56.539,30,-1,135,-2
08:33:56.700,30,-1,135,-2
08:33:56.860,30,-1,135,-2
08:33:56.983,30,-1,135,206
08:33:57.144,30,-1,135,-2
08:33:57.304,30,-1,135,-2
08:33:57.465,30,-1,135,-2
08:33:57.625,30,-1,135,-2
08:33:57.756,30,1,90,215
08:33:57.916,30,1,90,-2
08:33:58.077,30,1,90,-2
08:33:58.237,30,1,90,-2
08:33:58.349,30,1,90,13
08:33:58.472,30,1,90,205
08:33:58.583,30,1,90,7
08:33:58.694,30,1,90,7
08:33:58.806,30,1,90,6
08:33:58.918,30,1,90,10
08:33:59.029,30,1,90,11
08:33:59.190,30,1,90,-2
08:33:59.353,30,1,90,-2
08:33:59.513,30,1,90,-2
08:33:59.624,30,1,90,4
08:33:59.785,30,1,90,-2
08:33:59.945,30,1,90,-2
08:34:00.106,30,1,90,-2
08:34:00.217,30,1,90,1
08:34:00.328,30,1,90,4
08:34:00.440,30,1,90,16
08:34:00.563,30,1,90,202
08:34:00.674,30,1,90,7
08:34:00.785,30,1,90,1
08:34:00.945,30,1,90,-2
08:34:01.106,30,1,90,-2
08:34:01.266,30,1,90,-2
08:34:01.427,30,1,90,-2
08:34:01.587,30,1,90,-2
08:34:01.748,30,1,90,-2
08:34:01.870,30,1,90,202
08:34:01.982,30,1,90,14
08:34:02.142,30,1,90,-2
08:34:02.303,30,1,90,-2
08:34:02.463,30,1,90,-2
08:34:02.574,30,1,90,0
08:34:02.686,30,1,90,9
08:34:02.808,30,1,90,199
08:34:02.930,30,1,90,186
08:34:03.052,30,1,90,190
08:34:03.182,30,1,135,197
08:34:03.303,30,1,135,187
08:34:03.425,30,1,135,188
08:34:03.545,30,1,135,155
08:34:03.667,30,1,135,194
08:34:03.790,30,1,135,203
08:34:03.950,30,1,135,-2
08:34:04.111,30,1,135,-2
08:34:04.271,30,1,135,-2
08:34:04.431,30,1,135,-2
08:34:04.592,30,1,135,-2
08:34:04.752,30,1,135,-2
08:34:04.872,30,1,135,160
08:34:05.033,30,1,135,-2
08:34:05.193,30,1,135,-2
08:34:05.354,30,1,135,-2
08:34:05.475,30,1,135,165
08:34:05.635,30,1,135,-2
08:34:05.795,30,1,135,-2
08:34:05.956,30,1,135,-2
08:34:06.082,30,1,45,159
08:34:06.243,30,1,45,-2
08:34:06.403,30,1,45,-2
08:34:06.564,30,1,45,-2
08:34:06.724,30,1,45,-2
08:34:06.885,30,1,45,-2
08:34:07.045,30,1,45,-2
08:34:07.166,30,1,45,164
08:34:07.326,30,1,45,-2
08:34:07.486,30,1,45,-2
08:34:07.647,30,1,45,-2
08:34:07.807,30,1,45,-2
08:34:07.968,30,1,45,-2
08:34:08.128,30,1,45,-2
08:34:08.249,30,1,45,159
08:34:08.409,30,1,45,-2
08:34:08.570,30,1,45,-2
08:34:08.730,30,1,45,-2
08:34:08.853,30,1,45,212
08:34:09.014,30,1,45,-2
08:34:09.132,50,1,90,6
